sample,M1 D,F2 D,F3 D,F1 D,M3 D,M2 D,M1 P,M2 P,F1 P,M3 P,F3 P,F2 P
Label,D,D,D,D,D,D,P,P,P,P,P,P
Xanthine ,2.712059904,2.661563725,2.708271514,2.62842147,2.637881362,2.776543416,2.357170787,2.519915086,2.474344273,2.395014964,2.548440433,2.52592577
Dopamine ,1.187672341,1.192333682,1.163550125,1.345106737,1.176156769,1.155178686,1.245405665,1.341927244,1.308572717,1.320150633,1.567599043,1.240412188
Orotate ,1.745794719,1.93510778,1.798118626,1.719305853,1.834676728,2.145896202,1.350918496,1.481275048,1.552740587,1.700407693,1.446443967,1.616660002
Allantoin ,1.085389114,1.247207587,1.150201668,1.134931553,1.243010249,1.185743437,0.913542642,1.004049514,1.014498543,1.071774198,0.932697037,0.949558266
2-Aminoadipate ,2.013050737,1.684449666,1.820718255,2.024117667,1.657866016,1.598716999,2.163395752,1.881188896,1.764549296,1.969794119,1.909287672,2.458289369
Quinolinate ,0.96351806,0.934425475,0.958079028,1.032103721,1.219300281,1.012609553,0.818933821,1.04934021,1.092078975,1.100253679,0.782703247,0.879456939
PEP ,1.820012886,1.438970371,1.716856787,1.860189358,1.715338845,1.767273262,1.529602755,1.985356064,1.734079823,1.344521517,1.532511768,1.623960346
Homogentisate ,1.516323525,1.678142039,1.581136099,1.56586598,1.6739447,1.616677877,1.344476956,1.434983888,1.445432922,1.502708603,1.363631366,1.380492607
Urate ,2.64569104,2.560244102,2.952049921,2.667552601,2.823843209,2.703974892,2.955364245,2.879157848,2.408034555,3.035045696,2.536260842,2.36530781
D-GA3P ,1.470012775,1.484463143,1.467727352,1.437223426,1.526302524,1.517513447,1.593076636,1.397165905,1.395849072,1.715105742,1.447764059,1.65134307
Glycerol-3-P ,2.599865471,2.275132746,2.368609672,2.627818557,2.294533748,2.315627489,2.409969428,2.61217078,2.56698335,2.322772168,2.478102647,2.498506586
Aconitate ,1.158339189,1.402616568,1.227559089,1.291654907,1.239876624,1.050260514,1.190083182,1.127241067,1.190380302,1.120541097,1.366948681,1.321742177
Shikimic Acid ,1.268669858,1.451156313,0.862124294,0.986382617,1.211264059,0.963671471,0.795897366,1.060404072,0.90934214,1.076688064,1.134237784,0.816979139
Citrulline ,2.676015897,2.457766671,2.740950337,2.756611648,2.471919828,2.636452571,2.60676353,2.575243293,2.761814592,2.496761304,2.968116046,2.847704626
Ascorbic Acid ,3.163697375,2.437623132,3.022799108,2.807195813,1.820003192,2.909343086,3.178254883,3.016654221,2.993165608,1.569393406,2.879009985,2.816767597
Hippuric Acid ,1.833520399,1.109213679,1.487616194,1.764942065,1.1674808,0.827660189,1.099784864,1.012686955,1.266037428,0.956937779,1.086921922,1.314860153
Inositol ,2.787325928,2.752983279,2.738255633,2.744467087,2.573155475,2.618550704,2.736411221,2.636097281,2.738424034,2.621896628,2.972560131,3.019360191
Glucose ,2.046427583,2.146668553,2.057205573,2.201698765,2.107696769,1.999370411,2.360531621,2.131914392,2.269576772,2.213325256,2.296185987,2.493441395
Fructose ,1.911584344,2.073402864,1.976396921,1.961126801,2.069205525,2.0119387,1.739737763,1.830244703,1.840693738,1.897969422,1.758892174,1.775753417
OH-Phenylpyruvate ,1.327203622,1.437037569,1.262685696,1.299144962,1.194982561,1.212565756,1.434204586,1.306748171,1.307755056,1.222133024,1.487800219,1.573280082
Homovanilate ,1.765438659,1.772305742,1.674039821,1.710118071,1.614518386,1.718606615,1.684657541,1.683900575,1.645437571,1.896420317,1.7439078,1.802450433
4-Pyridoxic acid ,3.16513292,3.405614625,3.264038242,3.271430187,3.411973351,3.351332165,2.955719923,3.112936151,3.101903201,3.229611197,2.994290367,3.021294614
2/3-Phosphoglyceric Acid ,1.443687275,1.662707079,1.526517074,1.463335606,1.515642004,1.507081993,1.439366094,1.270081139,1.495398112,1.449770976,1.568056446,1.594807775
